tipo_celular,module_size,TSC22D2_MM,TSC22D2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.149,44.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610,0.137,38.0,98,2,2.04,1.08 (-0.63-2.78),96,97.96,3.17 (2.85-3.48)
astrocytes 5,423,0.214,80.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666,0.196,69.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27)
GABA neurons expressing GLU receptors 22,1069,0.263,96.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,1316,0.199,93.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,289,0.236,71.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,77,0.243,90.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,412,0.269,82.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,279,0.287,74.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052,0.23,98.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577,0.164,85.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,3303,0.129,93.0,276,4,1.45,1.10 (0.52-1.69),272,98.55,3.59 (3.37-3.81)
oligodendrocytes 10,2107,0.171,59.0,358,10,2.79,1.68 (0.99-2.37),348,97.21,3.95 (3.75-4.14)
connective tissue cells 21,152,0.321,75.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,377,0.141,42.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38)
oligodendrocytes 16,108,0.149,31.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,553,0.083,16.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,327,0.232,17.0,120,6,5.0,1.65 (0.96-2.35),114,95.0,3.74 (3.44-4.04)
astrocytes 4,514,0.312,88.0,95,3,3.16,0.90 (0.75-1.04),92,96.84,3.48 (3.05-3.90)
oligodendrocytes 0,1186,0.152,64.0,300,2,0.67,2.73 (2.35-3.12),298,99.33,3.80 (3.60-4.01)
microglia 1,958,0.202,98.0,290,5,1.72,1.59 (0.75-2.44),285,98.28,3.86 (3.63-4.09)
oligodendrocytes 3,854,0.141,89.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804,0.216,96.0,84,1,1.19,0.21 (NA-NA),83,98.81,2.73 (2.39-3.06)
