tipo_celular,module_size,CSTB_MM,CSTB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.357,97.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,487.0,0.365,88.0,73,3,4.11,1.56 (1.55-1.57),70,95.89,2.81 (2.42-3.21)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.299,81.0,410,26,6.34,3.38 (2.75-4.00),384,93.66,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,417.0,0.232,84.0,213,30,14.08,2.02 (1.43-2.61),183,85.92,4.06 (3.82-4.29)
endothelial cells 9,916.0,0.535,94.0,302,14,4.64,3.07 (1.93-4.22),288,95.36,4.02 (3.79-4.25)
oligodendrocytes 20,938.0,0.336,97.0,169,25,14.79,2.96 (2.20-3.72),144,85.21,3.54 (3.31-3.77)
GABA like neurons 14,2402.0,0.59,95.0,455,41,9.01,2.26 (1.71-2.81),414,90.99,4.55 (4.37-4.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.181,83.0,277,4,1.44,NA,273,98.56,3.89 (3.65-4.14)
connective tissue cells 21,301.0,0.43,64.0,158,25,15.82,3.59 (2.80-4.37),133,84.18,4.39 (3.98-4.80)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,107.0,0.213,44.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,729.0,0.299,96.0,182,4,2.2,2.27 (0.88-3.66),178,97.8,3.67 (3.42-3.93)
astrocytes microglia 23,96.0,0.496,99.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.227,74.0,252,45,17.86,2.57 (2.01-3.14),207,82.14,4.40 (4.15-4.65)
microglia 1,406.0,0.314,69.0,278,5,1.8,4.90 (4.39-5.40),273,98.2,4.35 (4.07-4.63)
oligodendrocytes 3,303.0,0.17,63.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.394,81.0,213,3,1.41,4.87 (3.96-5.79),210,98.59,3.96 (3.68-4.24)
