tipo_celular,module_size,ZNF277_MM,ZNF277_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.186,50.0,102,1,0.98,1.95 (NA-NA),101,99.02,3.52 (3.15-3.88)
T cells 18,624.0,0.14,39.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141.0,0.132,51.0,166,1,0.6,0.55 (NA-NA),165,99.4,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,4285.0,0.168,93.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,714.0,0.138,24.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,380.0,0.139,27.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,140.0,0.319,78.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.16,74.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330.0,0.438,98.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052.0,0.1,18.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.157,61.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.111,48.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,2107.0,0.163,56.0,358,2,0.56,1.25 (-0.12-2.62),356,99.44,3.88 (3.69-4.07)
connective tissue cells 21,116.0,0.224,15.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,268.0,0.132,64.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,199.0,0.162,45.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.49,98.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80)
astrocytes 4,787.0,0.148,42.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.129,80.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,480.0,0.189,49.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,854.0,0.107,69.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,804.0,0.144,41.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
