tipo_celular,module_size,TTC39B_MM,TTC39B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.094,19.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,322.0,0.128,26.0,58,1,1.72,0.87 (NA-NA),57,98.28,4.24 (3.83-4.65)
oligodendrocyte progenitor cells 7,4285.0,0.147,68.0,353,10,2.83,1.62 (1.01-2.24),343,97.17,3.98 (3.79-4.16)
GABA neurons expressing GLU receptors 22,823.0,0.194,60.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316.0,0.185,90.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,94.0,0.268,59.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,266.0,0.18,60.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,303.0,0.115,28.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.209,94.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,520.0,0.039,6.0,288,6,2.08,2.71 (1.60-3.82),282,97.92,4.21 (4.01-4.41)
oligodendrocyte progenitor cells 12,3303.0,0.086,59.0,276,11,3.99,1.46 (1.10-1.82),265,96.01,3.66 (3.44-3.87)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,112.0,0.213,37.0,7,1,14.29,1.85 (NA-NA),6,85.71,1.97 (1.05-2.89)
astrocytes 15,1768.0,0.098,60.0,105,7,6.67,1.50 (0.61-2.38),98,93.33,3.35 (3.01-3.69)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.105,36.0,95,1,1.05,4.14 (NA-NA),94,98.95,4.86 (4.41-5.30)
astrocytes microglia 23,134.0,0.336,64.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,1807.0,0.13,24.0,104,6,5.77,1.32 (0.36-2.29),98,94.23,2.96 (2.68-3.25)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
