tipo_celular,module_size,CMTM5_MM,CMTM5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.208,72.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.223,86.0,169,1,0.59,0.55 (NA-NA),168,99.41,3.50 (3.29-3.72)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.132,69.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,1277.0,0.101,46.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.161,24.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.21,69.0,252,2,0.79,1.25 (-0.12-2.62),250,99.21,4.12 (3.87-4.37)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.136,50.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.47,90.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
