tipo_celular,module_size,MAP3K7_MM,MAP3K7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.257,77.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,518.0,0.125,26.0,131,5,3.82,4.38 (1.52-7.24),126,96.18,3.03 (2.76-3.30)
astrocytes 5,1141.0,0.13,48.0,166,29,17.47,2.29 (1.86-2.71),137,82.53,3.69 (3.41-3.96)
oligodendrocyte progenitor cells 7,4285.0,0.171,94.0,353,60,17.0,2.60 (2.16-3.04),293,83.0,4.22 (4.04-4.41)
GABA neurons expressing GLU receptors 22,1069.0,0.168,53.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,380.0,0.211,77.0,39,5,12.82,3.37 (1.23-5.50),34,87.18,2.90 (2.34-3.46)
da like neurons 11,77.0,0.364,70.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.131,53.0,297,5,1.68,3.35 (2.48-4.21),292,98.32,3.68 (3.47-3.89)
oligodendrocytes 20,348.0,0.06,29.0,33,8,24.24,3.55 (3.11-3.99),25,75.76,2.44 (1.84-3.04)
GABA like neurons 14,3052.0,0.217,96.0,125,4,3.2,3.57 (3.02-4.13),121,96.8,3.34 (3.01-3.68)
astrocytes 8,262.0,0.123,43.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.068,36.0,276,51,18.48,2.56 (2.20-2.93),225,81.52,3.82 (3.58-4.07)
oligodendrocytes 10,1277.0,0.096,42.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,104.0,0.27,37.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.1,63.0,105,26,24.76,2.50 (1.80-3.20),79,75.24,3.47 (3.11-3.84)
oligodendrocytes 16,156.0,0.122,1.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.274,21.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,787.0,0.145,38.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,117.0,0.151,47.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,958.0,0.122,67.0,290,17,5.86,2.34 (1.74-2.94),273,94.14,3.92 (3.68-4.15)
oligodendrocytes 3,854.0,0.098,60.0,76,9,11.84,3.57 (2.65-4.49),67,88.16,2.66 (2.32-3.01)
oligodendrocytes 2,921.0,0.113,14.0,200,9,4.5,3.22 (1.97-4.46),191,95.5,3.65 (3.37-3.92)
