tipo_celular,module_size,TECPR2_MM,TECPR2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.314,94.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.122,69.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.137,53.0,353,14,3.97,2.85 (2.18-3.53),339,96.03,3.94 (3.75-4.14)
GABA neurons expressing GLU receptors 22,567.0,0.185,47.0,16,3,18.75,2.54 (1.95-3.14),13,81.25,1.82 (0.99-2.64)
GLU like neurons 17,637.0,0.15,46.0,91,3,3.3,1.63 (0.16-3.10),88,96.7,4.67 (4.15-5.19)
da like neurons 11,408.0,0.185,55.0,25,1,4.0,1.95 (NA-NA),24,96.0,4.75 (3.40-6.11)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.251,62.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,330.0,0.15,40.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,2090.0,0.256,95.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,771.0,0.144,55.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.26,83.0,32,4,12.5,3.36 (2.81-3.90),28,87.5,3.23 (2.28-4.17)
oligodendrocytes 10,1277.0,0.206,92.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,114.0,0.292,57.0,11,0,0.0,NA,11,100.0,1.61 (0.55-2.67)
astrocytes 15,458.0,0.032,5.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,81.0,0.148,24.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,100.0,0.256,28.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96)
astrocytes 4,721.0,0.16,67.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.139,39.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01)
microglia 1,127.0,0.132,31.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,639.0,0.176,89.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68)
oligodendrocytes 2,407.0,0.201,86.0,122,6,4.92,2.65 (1.65-3.65),116,95.08,3.38 (2.97-3.78)
