tipo_celular,module_size,TESK2_MM,TESK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.163,51.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932.0,0.152,92.0,80,3,3.75,3.84 (3.13-4.55),77,96.25,3.66 (3.24-4.09)
oligodendrocyte progenitor cells 7,200.0,0.17,45.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.099,21.0,91,18,19.78,2.75 (1.51-3.98),73,80.22,5.19 (4.76-5.63)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.186,43.0,74,2,2.7,3.15 (0.39-5.92),72,97.3,5.56 (5.01-6.11)
oligodendrocytes 20,322.0,0.078,28.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.166,91.0,66,23,34.85,2.38 (1.78-2.98),43,65.15,3.80 (3.31-4.29)
oligodendrocyte progenitor cells 12,708.0,0.204,77.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277.0,0.205,92.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,250.0,0.252,32.0,117,11,9.4,4.97 (3.68-6.26),106,90.6,5.43 (5.02-5.85)
astrocytes 15,443.0,0.075,7.0,9,2,22.22,2.04 (-0.10-4.18),7,77.78,3.68 (2.17-5.18)
oligodendrocytes 16,199.0,0.188,69.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.325,81.0,7,4,57.14,4.29 (3.40-5.17),3,42.86,5.94 (3.51-8.37)
astrocytes 4,752.0,0.145,37.0,96,5,5.21,4.27 (3.98-4.57),91,94.79,3.22 (2.88-3.57)
oligodendrocytes 0,479.0,0.191,77.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.216,95.0,15,8,53.33,1.58 (0.75-2.42),7,46.67,6.08 (5.29-6.88)
oligodendrocytes 2,804.0,0.221,98.0,84,16,19.05,2.69 (2.04-3.35),68,80.95,2.69 (2.29-3.08)
