tipo_celular,module_size,MRPS6_MM,MRPS6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.237,94.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07)
T cells 18,477.0,0.309,96.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.156,55.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,666.0,0.361,94.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,703.0,0.183,49.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,685.0,0.092,23.0,135,21,15.56,2.04 (1.55-2.52),114,84.44,3.45 (3.11-3.79)
da like neurons 11,97.0,0.069,9.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.1,48.0,275,26,9.45,1.40 (1.09-1.71),249,90.55,4.36 (4.11-4.60)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.193,39.0,455,40,8.79,2.02 (1.66-2.38),415,91.21,4.66 (4.48-4.83)
astrocytes 8,577.0,0.146,80.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,1049.0,0.09,48.0,235,13,5.53,2.78 (2.25-3.31),222,94.47,3.90 (3.65-4.14)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,102.0,0.285,43.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.058,20.0,105,19,18.1,1.52 (1.19-1.85),86,81.9,3.62 (3.27-3.98)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.414,80.0,120,6,5.0,0.95 (0.45-1.44),114,95.0,3.79 (3.50-4.07)
astrocytes 4,255.0,0.306,97.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.271,100.0,290,5,1.72,2.15 (1.54-2.76),285,98.28,3.85 (3.62-4.08)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
