tipo_celular,module_size,MAT2A_MM,MAT2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.427,97.0,102,6,5.88,1.87 (1.02-2.72),96,94.12,3.61 (3.23-3.98)
T cells 18,477,0.163,51.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.107,19.0,166,9,5.42,2.03 (1.28-2.79),157,94.58,3.49 (3.23-3.74)
oligodendrocyte progenitor cells 7,666,0.157,42.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,487,0.15,20.0,73,2,2.74,2.27 (0.40-4.14),71,97.26,2.77 (2.38-3.16)
GLU like neurons 17,685,0.291,91.0,135,3,2.22,0.90 (0.45-1.34),132,97.78,3.25 (2.95-3.56)
da like neurons 11,168,0.107,41.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,93,0.177,66.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,303,0.135,35.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,275,0.118,18.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,3052,0.237,99.0,125,1,0.8,3.17 (NA-NA),124,99.2,3.35 (3.03-3.68)
astrocytes 8,603,0.061,36.0,89,3,3.37,1.90 (0.25-3.54),86,96.63,2.80 (2.44-3.16)
oligodendrocyte progenitor cells 12,708,0.094,39.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277,0.09,37.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,139,0.218,11.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1768,0.122,79.0,105,12,11.43,1.68 (1.13-2.22),93,88.57,3.43 (3.08-3.78)
oligodendrocytes 16,64,0.205,58.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.1,39.0,122,7,5.74,1.41 (0.82-2.00),115,94.26,4.20 (3.81-4.59)
astrocytes microglia 23,166,0.266,40.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,752,0.113,6.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,613,0.195,88.0,127,2,1.57,2.17 (1.28-3.06),125,98.43,3.07 (2.65-3.50)
microglia 1,480,0.231,67.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,681,0.106,60.0,87,9,10.34,1.83 (1.12-2.53),78,89.66,2.68 (2.39-2.96)
oligodendrocytes 2,921,0.115,17.0,200,6,3.0,2.83 (2.21-3.46),194,97.0,3.65 (3.38-3.93)
