tipo_celular,module_size,HPS4_MM,HPS4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.13,29.0,19,6,31.58,4.06 (4.04-4.08),13,68.42,1.81 (1.03-2.59)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.135,81.0,136,2,1.47,3.91 (2.68-5.15),134,98.53,3.20 (2.92-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.141,58.0,353,38,10.76,2.46 (1.98-2.95),315,89.24,4.10 (3.91-4.29)
GABA neurons expressing GLU receptors 22,567.0,0.207,56.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68)
GLU like neurons 17,795.0,0.06,5.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,1220.0,0.037,1.0,410,41,10.0,3.91 (3.39-4.43),369,90.0,4.30 (4.10-4.50)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.264,68.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09)
GABA like neurons 14,2402.0,0.107,11.0,455,49,10.77,3.54 (3.01-4.07),406,89.23,4.48 (4.28-4.67)
astrocytes 8,1266.0,0.039,6.0,66,15,22.73,1.94 (1.09-2.80),51,77.27,3.68 (3.28-4.09)
oligodendrocyte progenitor cells 12,3303.0,0.056,21.0,276,22,7.97,2.55 (2.05-3.05),254,92.03,3.65 (3.42-3.88)
oligodendrocytes 10,2107.0,0.148,50.0,358,39,10.89,2.30 (1.80-2.80),319,89.11,4.10 (3.91-4.29)
connective tissue cells 21,136.0,0.325,63.0,3,1,33.33,NA,2,66.67,0.26 (NA-NA)
astrocytes 15,1401.0,0.129,82.0,96,11,11.46,3.50 (2.29-4.70),85,88.54,3.63 (3.14-4.11)
oligodendrocytes 16,155.0,0.302,88.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,112.0,0.281,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.169,89.0,104,11,10.58,2.43 (1.40-3.45),93,89.42,2.92 (2.63-3.21)
oligodendrocytes 0,2078.0,0.108,38.0,238,7,2.94,2.72 (1.65-3.79),231,97.06,3.67 (3.44-3.89)
microglia 1,346.0,0.105,18.0,43,1,2.33,3.28 (NA-NA),42,97.67,3.78 (3.26-4.30)
oligodendrocytes 3,1003.0,0.05,6.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.165,90.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
