tipo_celular,module_size,PSMD7_MM,PSMD7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.248,74.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,506.0,0.165,44.0,225,22,9.78,3.09 (2.35-3.82),203,90.22,3.65 (3.39-3.91)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.117,15.0,164,9,5.49,3.39 (2.63-4.15),155,94.51,4.13 (3.78-4.47)
GABA neurons expressing GLU receptors 22,848.0,0.246,63.0,262,33,12.6,3.02 (2.48-3.56),229,87.4,4.31 (4.05-4.57)
GLU like neurons 17,685.0,0.054,4.0,135,16,11.85,1.94 (1.30-2.58),119,88.15,3.34 (3.01-3.66)
da like neurons 11,1220.0,0.217,62.0,410,37,9.02,3.23 (2.81-3.65),373,90.98,4.34 (4.14-4.53)
GABA neurons expressing GABA receptors 13,77.0,0.14,25.0,8,2,25.0,2.24 (-0.28-4.75),6,75.0,3.62 (2.82-4.41)
endothelial cells 9,916.0,0.176,40.0,302,18,5.96,3.07 (2.21-3.93),284,94.04,4.02 (3.79-4.26)
oligodendrocytes 20,938.0,0.15,62.0,169,27,15.98,3.12 (2.55-3.69),142,84.02,3.53 (3.29-3.77)
GABA like neurons 14,2402.0,0.361,75.0,455,52,11.43,2.51 (2.08-2.95),403,88.57,4.59 (4.40-4.78)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.084,45.0,235,19,8.09,3.46 (2.85-4.07),216,91.91,3.84 (3.60-4.08)
oligodendrocytes 10,806.0,0.137,42.0,261,12,4.6,2.62 (1.87-3.36),249,95.4,4.41 (4.17-4.65)
connective tissue cells 21,77.0,0.313,61.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,94.0,0.307,94.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14)
da neurons 6,409.0,0.084,19.0,235,21,8.94,2.77 (2.06-3.49),214,91.06,4.07 (3.81-4.33)
astrocytes microglia 23,76.0,0.315,50.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.116,21.0,127,5,3.94,2.39 (1.48-3.30),122,96.06,3.09 (2.66-3.53)
microglia 1,214.0,0.072,2.0,227,15,6.61,3.17 (1.87-4.48),212,93.39,4.11 (3.87-4.35)
oligodendrocytes 3,457.0,0.08,28.0,345,31,8.99,3.57 (3.22-3.92),314,91.01,4.33 (4.11-4.55)
oligodendrocytes 2,528.0,0.228,64.0,175,17,9.71,3.18 (2.35-4.00),158,90.29,4.44 (4.08-4.81)
