tipo_celular,module_size,NENF_MM,NENF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.14,32.0,164,4,2.44,3.31 (1.98-4.65),160,97.56,4.11 (3.78-4.45)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.149,37.0,410,6,1.46,2.76 (1.59-3.93),404,98.54,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.217,53.0,302,6,1.99,2.88 (1.88-3.89),296,98.01,4.01 (3.78-4.24)
oligodendrocytes 20,938.0,0.315,96.0,169,6,3.55,2.76 (1.59-3.93),163,96.45,3.51 (3.29-3.74)
GABA like neurons 14,2402.0,0.424,82.0,455,12,2.64,1.64 (0.76-2.51),443,97.36,4.44 (4.26-4.63)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.256,89.0,235,4,1.7,3.31 (1.98-4.65),231,98.3,3.83 (3.60-4.07)
oligodendrocytes 10,483.0,0.104,44.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,301.0,0.31,32.0,158,3,1.9,1.77 (0.56-2.99),155,98.1,4.32 (3.96-4.69)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,121.0,0.188,30.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,729.0,0.138,42.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.2,66.0,252,14,5.56,1.63 (0.89-2.38),238,94.44,4.29 (4.05-4.53)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.14,52.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.352,76.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
