tipo_celular,module_size,RPL7A_MM,RPL7A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.339,66.0,98,33,33.67,3.21 (2.52-3.90),65,66.33,3.21 (2.57-3.85)
T cells 18,506.0,0.609,99.0,225,33,14.67,3.28 (2.60-3.96),192,85.33,3.68 (3.42-3.95)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.327,92.0,108,12,11.11,4.34 (3.45-5.23),96,88.89,3.09 (2.61-3.56)
GABA neurons expressing GLU receptors 22,487.0,0.368,88.0,73,18,24.66,3.08 (2.36-3.80),55,75.34,2.64 (2.18-3.09)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.281,77.0,410,20,4.88,3.18 (2.47-3.89),390,95.12,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,417.0,0.219,79.0,213,38,17.84,2.32 (1.80-2.84),175,82.16,4.15 (3.92-4.39)
endothelial cells 9,916.0,0.619,99.0,302,19,6.29,4.00 (2.93-5.08),283,93.71,3.98 (3.75-4.21)
oligodendrocytes 20,938.0,0.224,86.0,169,22,13.02,3.12 (2.41-3.82),147,86.98,3.54 (3.31-3.77)
GABA like neurons 14,2402.0,0.699,99.0,455,42,9.23,2.59 (1.99-3.19),413,90.77,4.58 (4.40-4.76)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.398,96.0,235,18,7.66,4.17 (3.35-4.98),217,92.34,3.79 (3.55-4.03)
oligodendrocytes 10,483.0,0.489,96.0,129,20,15.5,4.50 (3.70-5.29),109,84.5,3.24 (2.81-3.67)
connective tissue cells 21,301.0,0.508,79.0,158,20,12.66,3.36 (2.50-4.22),138,87.34,4.44 (4.04-4.83)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,105.0,0.344,98.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,729.0,0.311,97.0,182,25,13.74,3.55 (2.77-4.34),157,86.26,3.65 (3.39-3.91)
astrocytes microglia 23,137.0,0.395,63.0,188,40,21.28,2.69 (2.16-3.21),148,78.72,5.00 (4.65-5.35)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.288,88.0,252,44,17.46,2.69 (2.10-3.28),208,82.54,4.47 (4.22-4.71)
microglia 1,406.0,0.543,93.0,278,10,3.6,4.17 (3.08-5.27),268,96.4,4.37 (4.09-4.65)
oligodendrocytes 3,303.0,0.288,95.0,154,15,9.74,4.62 (3.73-5.51),139,90.26,3.50 (3.17-3.83)
oligodendrocytes 2,526.0,0.475,91.0,213,10,4.69,4.48 (3.35-5.61),203,95.31,3.95 (3.67-4.23)
