tipo_celular,module_size,STAT1_MM,STAT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.315,95.0,35,16,45.71,5.46 (4.42-6.49),19,54.29,2.15 (1.10-3.20)
T cells 18,518.0,0.209,79.0,131,7,5.34,5.06 (3.08-7.05),124,94.66,2.95 (2.70-3.20)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.129,41.0,353,63,17.85,2.17 (1.88-2.45),290,82.15,4.39 (4.21-4.56)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.132,52.0,135,46,34.07,2.54 (2.16-2.93),89,65.93,3.58 (3.17-3.99)
da like neurons 11,132.0,0.142,27.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,265.0,0.209,72.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,658.0,0.16,33.0,120,38,31.67,4.20 (3.73-4.66),82,68.33,4.83 (4.42-5.24)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.207,44.0,455,25,5.49,1.65 (1.09-2.21),430,94.51,4.55 (4.38-4.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.095,70.0,276,51,18.48,2.06 (1.81-2.32),225,81.52,3.97 (3.74-4.20)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,125.0,0.211,14.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.101,33.0,235,7,2.98,1.65 (1.07-2.22),228,97.02,4.06 (3.81-4.31)
astrocytes microglia 23,41.0,0.274,20.0,3,3,100.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.149,51.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
