tipo_celular,module_size,RPAP2_MM,RPAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.194,39.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,624.0,0.196,80.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141.0,0.123,37.0,166,21,12.65,1.79 (1.38-2.19),145,87.35,3.68 (3.43-3.94)
oligodendrocyte progenitor cells 7,4285.0,0.142,60.0,353,38,10.76,1.95 (1.47-2.43),315,89.24,4.19 (4.02-4.37)
GABA neurons expressing GLU receptors 22,823.0,0.127,20.0,23,3,13.04,2.11 (-0.05-4.28),20,86.96,2.43 (1.64-3.22)
GLU like neurons 17,1316.0,0.125,52.0,101,3,2.97,4.08 (1.03-7.14),98,97.03,3.03 (2.67-3.38)
da like neurons 11,200.0,0.275,74.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.155,70.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,358.0,0.25,84.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79)
GABA like neurons 14,1300.0,0.224,58.0,306,13,4.25,2.05 (1.41-2.69),293,95.75,5.28 (5.03-5.54)
astrocytes 8,1266.0,0.081,49.0,66,17,25.76,1.68 (1.13-2.24),49,74.24,3.88 (3.48-4.29)
oligodendrocyte progenitor cells 12,708.0,0.069,28.0,32,6,18.75,0.94 (-0.08-1.95),26,81.25,3.87 (3.06-4.69)
oligodendrocytes 10,2107.0,0.142,49.0,358,39,10.89,1.74 (1.36-2.12),319,89.11,4.23 (4.05-4.40)
connective tissue cells 21,82.0,0.253,39.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,1768.0,0.135,86.0,105,17,16.19,1.59 (1.18-2.00),88,83.81,3.56 (3.20-3.91)
oligodendrocytes 16,82.0,0.209,75.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,91.0,0.233,38.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,752.0,0.176,84.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.34 (3.00-3.67)
oligodendrocytes 0,1186.0,0.175,90.0,300,1,0.33,3.70 (NA-NA),299,99.67,3.79 (3.59-4.00)
microglia 1,1615.0,0.132,78.0,161,33,20.5,1.68 (1.33-2.04),128,79.5,3.80 (3.54-4.07)
oligodendrocytes 3,357.0,0.115,64.0,127,1,0.79,4.40 (NA-NA),126,99.21,3.11 (2.77-3.44)
oligodendrocytes 2,804.0,0.162,60.0,84,6,7.14,1.42 (0.48-2.36),78,92.86,2.81 (2.47-3.16)
