tipo_celular,module_size,NTPCR_MM,NTPCR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,5,1.42,1.82 (0.89-2.74),348,98.58,3.93 (3.74-4.11)
GABA neurons expressing GLU receptors 22,400.0,0.211,58.0,24,0,0.0,NA,24,100.0,2.16 (1.65-2.67)
GLU like neurons 17,1316.0,0.05,2.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,101.0,0.13,32.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.027,6.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,3052.0,0.107,23.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.047,12.0,276,5,1.81,1.82 (0.89-2.74),271,98.19,3.58 (3.36-3.80)
oligodendrocytes 10,735.0,0.043,8.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,66.0,0.231,53.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.075,17.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,53.0,0.336,58.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.101,23.0,238,1,0.42,2.53 (NA-NA),237,99.58,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.061,19.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.135,34.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
