tipo_celular,module_size,LMAN2L_MM,LMAN2L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.089,13.0,136,13,9.56,3.02 (2.34-3.70),123,90.44,3.23 (2.94-3.52)
oligodendrocyte progenitor cells 7,4285.0,0.108,16.0,353,35,9.92,2.25 (1.77-2.74),318,90.08,4.13 (3.95-4.31)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,59.0,0.092,16.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.124,29.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,577.0,0.081,47.0,83,3,3.61,5.68 (3.06-8.31),80,96.39,3.14 (2.70-3.58)
oligodendrocyte progenitor cells 12,3303.0,0.089,63.0,276,24,8.7,2.60 (2.04-3.15),252,91.3,3.66 (3.43-3.89)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.041,7.0,105,21,20.0,2.29 (1.73-2.86),84,80.0,3.47 (3.09-3.85)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.294,45.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.144,48.0,104,22,21.15,2.31 (1.71-2.92),82,78.85,3.02 (2.71-3.33)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
