tipo_celular,module_size,SBDS_MM,SBDS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.177,48.0,251,5,1.99,4.54 (3.94-5.14),246,98.01,4.06 (3.81-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.196,44.0,262,13,4.96,2.37 (1.48-3.26),249,95.04,4.28 (4.03-4.53)
GLU like neurons 17,685.0,0.117,41.0,135,14,10.37,1.41 (1.08-1.74),121,89.63,3.44 (3.12-3.75)
da like neurons 11,1220.0,0.287,78.0,410,10,2.44,3.34 (1.82-4.85),400,97.56,4.27 (4.08-4.45)
GABA neurons expressing GABA receptors 13,67.0,0.22,81.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,916.0,0.166,37.0,302,7,2.32,4.23 (1.56-6.90),295,97.68,3.97 (3.75-4.20)
oligodendrocytes 20,938.0,0.153,63.0,169,9,5.33,2.97 (1.56-4.38),160,94.67,3.52 (3.30-3.73)
GABA like neurons 14,2402.0,0.436,83.0,455,37,8.13,2.49 (1.81-3.16),418,91.87,4.54 (4.36-4.72)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.09,48.0,235,7,2.98,5.56 (4.50-6.61),228,97.02,3.78 (3.54-4.01)
oligodendrocytes 10,806.0,0.213,65.0,261,9,3.45,4.35 (3.70-5.01),252,96.55,4.37 (4.12-4.61)
connective tissue cells 21,101.0,0.17,5.0,116,10,8.62,3.51 (2.39-4.64),106,91.38,4.71 (4.28-5.15)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,85.0,0.182,31.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.142,59.0,235,7,2.98,2.06 (1.11-3.01),228,97.02,4.06 (3.81-4.31)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.223,74.0,252,28,11.11,2.40 (1.63-3.16),224,88.89,4.36 (4.12-4.60)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.136,61.0,345,11,3.19,3.18 (2.42-3.95),334,96.81,4.31 (4.10-4.52)
oligodendrocytes 2,528.0,0.382,93.0,175,2,1.14,5.16 (NA-NA),173,98.86,4.37 (4.02-4.72)
