tipo_celular,module_size,DYNC1I1_MM,DYNC1I1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,228.0,0.179,52.0,266,37,13.91,3.13 (2.53-3.73),229,86.09,4.31 (4.10-4.52)
oligodendrocyte progenitor cells 7,666.0,0.083,5.0,127,3,2.36,2.44 (1.72-3.17),124,97.64,3.88 (3.54-4.23)
GABA neurons expressing GLU receptors 22,823.0,0.317,98.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,795.0,0.239,84.0,80,2,2.5,4.43 (4.17-4.69),78,97.5,5.73 (5.30-6.15)
da like neurons 11,109.0,0.406,94.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,357.0,0.238,78.0,237,4,1.69,3.89 (2.94-4.84),233,98.31,4.42 (4.18-4.66)
endothelial cells 9,303.0,0.285,75.0,54,3,5.56,4.19 (3.98-4.40),51,94.44,4.88 (4.22-5.54)
oligodendrocytes 20,271.0,0.085,12.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.054,2.0,455,28,6.15,2.61 (1.86-3.36),427,93.85,4.48 (4.29-4.66)
astrocytes 8,520.0,0.276,84.0,288,29,10.07,3.48 (2.89-4.08),259,89.93,4.26 (4.05-4.47)
oligodendrocyte progenitor cells 12,218.0,0.227,45.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,806.0,0.419,92.0,261,18,6.9,3.90 (3.02-4.78),243,93.1,4.40 (4.15-4.65)
connective tissue cells 21,90.0,0.299,57.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,458.0,0.055,21.0,36,3,8.33,3.38 (NA-NA),33,91.67,3.78 (2.65-4.92)
oligodendrocytes 16,313.0,0.208,45.0,291,23,7.9,3.52 (2.85-4.19),268,92.1,4.41 (4.17-4.64)
da neurons 6,409.0,0.335,97.0,235,2,0.85,3.14 (0.35-5.93),233,99.15,3.98 (3.73-4.24)
astrocytes microglia 23,58.0,0.372,79.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA)
astrocytes 4,157.0,0.174,48.0,178,29,16.29,3.10 (2.41-3.78),149,83.71,4.40 (4.13-4.67)
oligodendrocytes 0,187.0,0.098,8.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.152,93.0,76,2,2.63,2.13 (-1.64-5.89),74,97.37,2.80 (2.47-3.13)
oligodendrocytes 2,347.0,0.198,52.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
