tipo_celular,module_size,PUS10_MM,PUS10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.118,18.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.084,9.0,136,9,6.62,2.48 (1.43-3.52),127,93.38,3.27 (2.99-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.095,7.0,353,40,11.33,1.97 (1.58-2.37),313,88.67,4.22 (4.04-4.40)
GABA neurons expressing GLU receptors 22,714.0,0.175,47.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.096,12.0,74,6,8.11,1.97 (1.61-2.33),68,91.89,3.04 (2.64-3.45)
astrocytes 8,727.0,0.024,0.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.046,13.0,32,7,21.88,1.06 (0.25-1.86),25,78.12,3.98 (3.14-4.81)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.071,34.0,105,18,17.14,1.69 (1.27-2.11),87,82.86,3.56 (3.20-3.92)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,103.0,0.241,11.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.139,39.0,104,22,21.15,1.59 (1.25-1.93),82,78.85,3.24 (2.94-3.54)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.084,14.0,161,33,20.5,1.62 (1.28-1.96),128,79.5,3.82 (3.56-4.09)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
