tipo_celular,module_size,UNC5B_MM,UNC5B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.296,80.0,15,5,33.33,6.20 (5.24-7.16),10,66.67,5.45 (4.46-6.44)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,400.0,0.156,26.0,24,0,0.0,NA,24,100.0,2.16 (1.65-2.67)
GLU like neurons 17,1247.0,0.113,34.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.132,30.0,62,4,6.45,3.84 (1.96-5.72),58,93.55,4.06 (3.60-4.53)
oligodendrocytes 20,358.0,0.122,35.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.176,83.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,114.0,0.27,52.0,19,7,36.84,3.66 (2.96-4.36),12,63.16,5.57 (4.78-6.37)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.127,10.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,100.0,0.337,69.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,309.0,0.119,33.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,1615.0,0.12,64.0,161,4,2.48,1.60 (0.04-3.15),157,97.52,3.32 (3.06-3.59)
oligodendrocytes 3,639.0,0.109,61.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68)
oligodendrocytes 2,131.0,0.17,40.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52)
