tipo_celular,module_size,THAP6_MM,THAP6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.127,68.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.15,73.0,353,8,2.27,1.41 (0.41-2.40),345,97.73,3.96 (3.78-4.15)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.036,10.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052.0,0.118,32.0,125,1,0.8,4.56 (NA-NA),124,99.2,3.34 (3.02-3.67)
astrocytes 8,727.0,0.077,29.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.118,89.0,276,5,1.81,2.04 (0.72-3.36),271,98.19,3.58 (3.36-3.80)
oligodendrocytes 10,1277.0,0.081,31.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.376,86.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,458.0,0.112,60.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,92.0,0.207,50.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,57.0,0.349,65.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.144,49.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,2078.0,0.12,61.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.088,42.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.131,28.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
