tipo_celular,module_size,CHD9_MM,CHD9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.235,53.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,477,0.173,57.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,222,0.209,51.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00)
oligodendrocyte progenitor cells 7,436,0.085,20.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,703,0.071,3.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,229,0.104,10.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,215,0.334,84.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,288,0.127,24.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64)
endothelial cells 9,586,0.214,50.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,676,0.565,85.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,1300,0.242,66.0,306,1,0.33,3.52 (NA-NA),305,99.67,5.10 (4.83-5.36)
astrocytes 8,279,0.254,41.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73)
oligodendrocyte progenitor cells 12,411,0.187,58.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,130,0.209,15.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106,0.146,1.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,418,0.452,87.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,153,0.345,45.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398,0.253,80.0,138,5,3.62,2.31 (0.99-3.64),133,96.38,4.94 (4.57-5.30)
astrocytes microglia 23,166,0.182,13.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,201,0.125,13.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,261,0.224,77.0,42,1,2.38,1.18 (NA-NA),41,97.62,4.15 (3.46-4.84)
microglia 1,315,0.197,65.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,116,0.307,82.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05)
oligodendrocytes 2,407,0.105,6.0,122,12,9.84,1.69 (0.96-2.42),110,90.16,3.56 (3.16-3.97)
