tipo_celular,module_size,TWSG1_MM,TWSG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.095,21.0,136,3,2.21,1.40 (1.32-1.48),133,97.79,3.25 (2.98-3.53)
oligodendrocyte progenitor cells 7,4285.0,0.099,9.0,353,19,5.38,2.09 (1.59-2.60),334,94.62,4.02 (3.84-4.21)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,380.0,0.197,69.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,209.0,0.242,70.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.09,21.0,54,1,1.85,5.24 (NA-NA),53,98.15,4.83 (4.18-5.47)
oligodendrocytes 20,295.0,0.212,59.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.177,80.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,140.0,0.116,46.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.082,55.0,276,16,5.8,1.67 (1.29-2.05),260,94.2,3.70 (3.48-3.92)
oligodendrocytes 10,2107.0,0.094,25.0,358,25,6.98,2.05 (1.58-2.52),333,93.02,4.05 (3.86-4.24)
connective tissue cells 21,125.0,0.394,90.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,1768.0,0.12,78.0,105,10,9.52,1.40 (0.89-1.91),95,90.48,3.42 (3.08-3.76)
oligodendrocytes 16,90.0,0.219,53.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.372,77.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,1807.0,0.132,27.0,104,8,7.69,1.09 (0.70-1.48),96,92.31,3.02 (2.74-3.30)
oligodendrocytes 0,2078.0,0.12,62.0,238,4,1.68,2.49 (0.86-4.12),234,98.32,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.053,8.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.141,48.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
