tipo_celular,module_size,NMRK1_MM,NMRK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.167,27.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,518.0,0.128,29.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.137,53.0,353,14,3.97,1.98 (1.23-2.74),339,96.03,3.99 (3.81-4.18)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,145.0,0.048,0.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,295.0,0.465,96.0,28,1,3.57,1.43 (NA-NA),27,96.43,2.22 (1.75-2.70)
GABA like neurons 14,3052.0,0.135,46.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.036,5.0,276,12,4.35,2.57 (1.80-3.34),264,95.65,3.60 (3.38-3.82)
oligodendrocytes 10,1277.0,0.054,13.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,88.0,0.312,60.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.141,20.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,51.0,0.453,96.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.125,73.0,238,4,1.68,1.71 (0.59-2.83),234,98.32,3.68 (3.45-3.90)
microglia 1,1615.0,0.089,20.0,161,14,8.7,1.98 (1.23-2.74),147,91.3,3.43 (3.15-3.70)
oligodendrocytes 3,1003.0,0.072,24.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.144,55.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
