tipo_celular,module_size,SLC39A14_MM,SLC39A14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.458,98.0,58,19,32.76,3.37 (2.75-3.98),39,67.24,4.69 (4.19-5.18)
oligodendrocyte progenitor cells 7,4285.0,0.156,81.0,353,20,5.67,1.54 (1.01-2.07),333,94.33,4.08 (3.90-4.25)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.177,70.0,135,18,13.33,2.04 (1.57-2.51),117,86.67,3.41 (3.07-3.74)
da like neurons 11,197.0,0.104,11.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.141,41.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,577.0,0.149,81.0,83,4,4.82,4.28 (1.74-6.82),79,95.18,3.19 (2.74-3.64)
oligodendrocyte progenitor cells 12,3303.0,0.092,67.0,276,14,5.07,1.72 (1.29-2.15),262,94.93,3.67 (3.45-3.89)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.153,90.0,96,3,3.12,1.95 (1.78-2.12),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.36,73.0,6,1,16.67,5.62 (NA-NA),5,83.33,3.59 (3.46-3.72)
astrocytes 4,171.0,0.372,99.0,22,2,9.09,2.54 (NA-NA),20,90.91,4.67 (3.72-5.61)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
