tipo_celular,module_size,SLC4A7_MM,SLC4A7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.303,67.0,140,10,7.14,3.32 (2.71-3.93),130,92.86,4.67 (4.37-4.96)
T cells 18,518.0,0.207,79.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.174,56.0,127,9,7.09,3.19 (2.30-4.09),118,92.91,3.91 (3.55-4.27)
GABA neurons expressing GLU receptors 22,487.0,0.202,46.0,73,1,1.37,1.32 (NA-NA),72,98.63,2.78 (2.39-3.17)
GLU like neurons 17,229.0,0.371,100.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,289.0,0.223,69.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.403,98.0,141,2,1.42,1.43 (0.17-2.70),139,98.58,2.99 (2.74-3.23)
oligodendrocytes 20,298.0,0.637,100.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.228,98.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.037,6.0,276,13,4.71,2.00 (1.44-2.56),263,95.29,3.64 (3.42-3.87)
oligodendrocytes 10,2107.0,0.35,95.0,358,12,3.35,1.32 (0.95-1.69),346,96.65,3.98 (3.79-4.17)
connective tissue cells 21,106.0,0.277,39.0,9,0,0.0,NA,9,100.0,3.76 (1.20-6.32)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,108.0,0.162,43.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.303,79.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.101,23.0,238,4,1.68,1.47 (0.58-2.35),234,98.32,3.68 (3.46-3.90)
microglia 1,315.0,0.224,72.0,144,9,6.25,3.15 (2.58-3.72),135,93.75,4.56 (4.24-4.88)
oligodendrocytes 3,854.0,0.06,15.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.101,3.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
