tipo_celular,module_size,HCN2_MM,HCN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,300.0,0.242,86.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08)
da like neurons 11,1220.0,0.078,6.0,410,12,2.93,2.11 (1.70-2.51),398,97.07,4.34 (4.15-4.53)
GABA neurons expressing GABA receptors 13,266.0,0.129,30.0,118,27,22.88,4.42 (3.86-4.98),91,77.12,4.85 (4.42-5.29)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.207,73.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402.0,0.104,10.0,455,3,0.66,1.31 (0.04-2.58),452,99.34,4.37 (4.18-4.55)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.09,23.0,261,14,5.36,3.54 (2.36-4.73),247,94.64,4.41 (4.16-4.66)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,156.0,0.237,77.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,448.0,0.104,55.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,187.0,0.33,94.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.209,88.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,528.0,0.232,65.0,175,3,1.71,1.81 (1.30-2.32),172,98.29,4.45 (4.10-4.80)
