tipo_celular,module_size,CYP20A1_MM,CYP20A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.246,72.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,282.0,0.15,30.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932.0,0.094,27.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,0,0.0,NA,353,100.0,3.89 (3.70-4.08)
GABA neurons expressing GLU receptors 22,848.0,0.123,12.0,262,1,0.38,1.29 (NA-NA),261,99.62,4.17 (3.93-4.42)
GLU like neurons 17,1247.0,0.15,62.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,132.0,0.223,46.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.085,17.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,348.0,0.077,37.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2090.0,0.13,32.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.044,9.0,66,0,0.0,NA,66,100.0,3.23 (2.81-3.65)
oligodendrocyte progenitor cells 12,3303.0,0.078,49.0,276,0,0.0,NA,276,100.0,3.54 (3.32-3.76)
oligodendrocytes 10,1277.0,0.111,52.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,90.0,0.235,20.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,418.0,0.038,18.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,88.0,0.25,83.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,37.0,0.297,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.16,66.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186.0,0.12,17.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.097,30.0,161,0,0.0,NA,161,100.0,3.27 (3.00-3.54)
oligodendrocytes 3,681.0,0.073,30.0,87,0,0.0,NA,87,100.0,2.58 (2.31-2.85)
oligodendrocytes 2,921.0,0.135,45.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
