tipo_celular,module_size,GTF2B_MM,GTF2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.237,87.0,35,2,5.71,5.98 (NA-NA),33,94.29,3.66 (2.70-4.63)
T cells 18,393.0,0.126,31.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,57,16.15,1.90 (1.61-2.19),296,83.85,4.32 (4.14-4.49)
GABA neurons expressing GLU receptors 22,703.0,0.27,90.0,23,4,17.39,2.17 (1.32-3.02),19,82.61,2.07 (1.22-2.93)
GLU like neurons 17,1316.0,0.087,17.0,101,5,4.95,2.79 (2.52-3.06),96,95.05,3.06 (2.70-3.43)
da like neurons 11,200.0,0.115,15.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.088,34.0,275,43,15.64,1.85 (1.49-2.20),232,84.36,4.50 (4.24-4.75)
oligodendrocytes 20,279.0,0.011,1.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2090.0,0.131,33.0,74,11,14.86,2.14 (1.84-2.44),63,85.14,3.07 (2.65-3.50)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.044,10.0,276,42,15.22,2.01 (1.73-2.28),234,84.78,3.86 (3.63-4.09)
oligodendrocytes 10,735.0,0.02,1.0,277,1,0.36,5.98 (NA-NA),276,99.64,3.88 (3.64-4.13)
connective tissue cells 21,145.0,0.323,68.0,1,1,100.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,156.0,0.216,62.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.264,16.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.112,45.0,238,12,5.04,2.47 (1.92-3.03),226,94.96,3.70 (3.48-3.93)
microglia 1,480.0,0.12,12.0,163,2,1.23,4.83 (4.22-5.45),161,98.77,3.69 (3.42-3.96)
oligodendrocytes 3,1003.0,0.033,1.0,111,2,1.8,3.81 (3.31-4.31),109,98.2,3.29 (2.94-3.64)
oligodendrocytes 2,1630.0,0.123,18.0,154,2,1.3,6.21 (2.15-10.27),152,98.7,3.20 (2.94-3.46)
