tipo_celular,module_size,SRGAP1_MM,SRGAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.18,45.0,102,8,7.84,1.80 (1.08-2.52),94,92.16,3.65 (3.28-4.03)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.082,3.0,98,2,2.04,2.97 (-1.31-7.24),96,97.96,4.64 (4.23-5.04)
oligodendrocyte progenitor cells 7,200.0,0.17,45.0,16,1,6.25,5.16 (NA-NA),15,93.75,3.83 (2.97-4.69)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,489.0,0.124,40.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,265.0,0.245,72.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.183,43.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,271.0,0.228,71.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,1300.0,0.044,2.0,306,19,6.21,3.56 (2.75-4.38),287,93.79,5.25 (4.98-5.52)
astrocytes 8,260.0,0.282,97.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,708.0,0.242,81.0,32,4,12.5,2.26 (0.89-3.64),28,87.5,3.41 (2.50-4.32)
oligodendrocytes 10,2107.0,0.273,85.0,358,16,4.47,2.43 (1.52-3.34),342,95.53,3.95 (3.76-4.14)
connective tissue cells 21,152.0,0.283,65.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,418.0,0.251,64.0,54,3,5.56,5.16 (5.16-5.16),51,94.44,3.58 (3.13-4.04)
oligodendrocytes 16,108.0,0.282,83.0,5,3,60.0,4.63 (3.58-5.68),2,40.0,2.99 (1.95-4.03)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,42.0,0.236,13.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,251.0,0.102,8.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,1186.0,0.161,77.0,300,3,1.0,3.52 (2.43-4.62),297,99.0,3.80 (3.59-4.00)
microglia 1,480.0,0.107,8.0,163,5,3.07,5.01 (4.85-5.17),158,96.93,3.66 (3.39-3.93)
oligodendrocytes 3,1003.0,0.158,87.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.143,20.0,114,12,10.53,4.98 (4.70-5.26),102,89.47,5.14 (4.66-5.62)
