tipo_celular,module_size,BASP1_MM,BASP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.229,70.0,140,3,2.14,4.29 (NA-NA),137,97.86,4.51 (4.08-4.93)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,228.0,0.314,89.0,266,20,7.52,2.27 (1.42-3.12),246,92.48,4.26 (4.06-4.47)
oligodendrocyte progenitor cells 7,628.0,0.222,76.0,164,8,4.88,4.18 (2.86-5.49),156,95.12,4.08 (3.74-4.42)
GABA neurons expressing GLU receptors 22,848.0,0.224,56.0,262,18,6.87,2.80 (1.88-3.73),244,93.13,4.26 (4.01-4.51)
GLU like neurons 17,1316.0,0.19,91.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220.0,0.398,93.0,410,13,3.17,3.39 (1.31-5.46),397,96.83,4.27 (4.08-4.45)
GABA neurons expressing GABA receptors 13,265.0,0.188,67.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,338.0,0.305,87.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,279.0,0.166,33.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402.0,0.375,76.0,455,34,7.47,1.85 (1.22-2.49),421,92.53,4.56 (4.38-4.73)
astrocytes 8,520.0,0.377,93.0,288,13,4.51,2.61 (1.37-3.86),275,95.49,4.22 (4.02-4.42)
oligodendrocyte progenitor cells 12,143.0,0.48,87.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,806.0,0.394,89.0,261,9,3.45,3.58 (2.34-4.81),252,96.55,4.39 (4.14-4.63)
connective tissue cells 21,101.0,0.248,24.0,116,10,8.62,3.82 (1.78-5.86),106,91.38,4.67 (4.25-5.09)
astrocytes 15,418.0,0.026,6.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,313.0,0.362,83.0,291,2,0.69,0.55 (NA-NA),289,99.31,4.34 (4.12-4.57)
da neurons 6,553.0,0.113,38.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,327.0,0.479,87.0,120,22,18.33,1.71 (1.23-2.19),98,81.67,4.01 (3.72-4.29)
astrocytes 4,157.0,0.274,74.0,178,15,8.43,2.16 (1.10-3.23),163,91.57,4.32 (4.07-4.58)
oligodendrocytes 0,116.0,0.222,67.0,169,0,0.0,NA,169,100.0,4.28 (3.98-4.57)
microglia 1,480.0,0.275,80.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,457.0,0.336,95.0,345,13,3.77,3.54 (2.60-4.49),332,96.23,4.29 (4.08-4.50)
oligodendrocytes 2,99.0,0.353,73.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26)
