tipo_celular,module_size,MSH6_MM,MSH6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,624.0,0.183,73.0,142,5,3.52,3.28 (2.78-3.79),137,96.48,3.21 (2.93-3.48)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.124,32.0,353,62,17.56,2.24 (1.92-2.56),291,82.44,4.33 (4.15-4.51)
GABA neurons expressing GLU receptors 22,487.0,0.103,7.0,73,4,5.48,1.44 (1.34-1.53),69,94.52,2.84 (2.44-3.24)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.058,5.0,155,2,1.29,4.03 (1.75-6.31),153,98.71,4.34 (3.97-4.71)
oligodendrocytes 20,250.0,0.21,64.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.072,3.0,455,28,6.15,1.88 (1.32-2.44),427,93.85,4.57 (4.40-4.75)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.041,8.0,276,52,18.84,2.36 (2.04-2.68),224,81.16,3.88 (3.64-4.12)
oligodendrocytes 10,2107.0,0.064,11.0,358,58,16.2,2.14 (1.79-2.49),300,83.8,4.30 (4.12-4.48)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,75.0,0.123,9.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,63.0,0.347,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.129,37.0,127,15,11.81,2.38 (1.89-2.87),112,88.19,3.19 (2.71-3.68)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.059,17.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921.0,0.15,73.0,200,9,4.5,3.07 (2.15-3.99),191,95.5,3.65 (3.37-3.92)
