tipo_celular,module_size,L3MBTL1_MM,L3MBTL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.098,24.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.159,84.0,353,58,16.43,2.15 (1.84-2.46),295,83.57,4.34 (4.16-4.52)
GABA neurons expressing GLU receptors 22,459.0,0.07,8.0,165,9,5.45,2.38 (1.58-3.17),156,94.55,5.30 (4.96-5.63)
GLU like neurons 17,1316.0,0.175,87.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,853.0,0.125,45.0,133,55,41.35,2.34 (1.99-2.69),78,58.65,3.98 (3.57-4.39)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.065,23.0,6,1,16.67,NA,5,83.33,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.2,79.0,74,11,14.86,2.10 (1.87-2.33),63,85.14,3.12 (2.68-3.55)
astrocytes 8,260.0,0.04,7.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.074,44.0,276,44,15.94,2.00 (1.71-2.29),232,84.06,3.89 (3.66-4.12)
oligodendrocytes 10,1277.0,0.084,34.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.196,80.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,75.0,0.144,17.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.4,92.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62)
astrocytes 4,1807.0,0.117,9.0,104,23,22.12,1.60 (1.26-1.94),81,77.88,3.26 (2.96-3.56)
oligodendrocytes 0,309.0,0.106,21.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.065,22.0,15,4,26.67,0.82 (-0.10-1.74),11,73.33,4.42 (3.01-5.83)
oligodendrocytes 2,1630.0,0.13,27.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
