tipo_celular,module_size,EIF1B_MM,EIF1B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.187,59.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.232,78.0,164,1,0.61,5.16 (NA-NA),163,99.39,4.08 (3.75-4.40)
GABA neurons expressing GLU receptors 22,487.0,0.305,78.0,73,5,6.85,1.64 (1.24-2.04),68,93.15,2.85 (2.44-3.26)
GLU like neurons 17,380.0,0.201,73.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,1220.0,0.387,92.0,410,16,3.9,3.30 (2.31-4.29),394,96.1,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,417.0,0.192,68.0,213,18,8.45,1.98 (1.36-2.60),195,91.55,3.96 (3.72-4.20)
endothelial cells 9,916.0,0.18,42.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,221.0,0.116,16.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2402.0,0.672,98.0,455,29,6.37,2.57 (1.81-3.33),426,93.63,4.49 (4.31-4.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.068,37.0,276,23,8.33,1.81 (1.37-2.25),253,91.67,3.75 (3.53-3.97)
oligodendrocytes 10,806.0,0.275,75.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,139.0,0.302,47.0,4,3,75.0,3.51 (1.72-5.30),1,25.0,3.52 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,69.0,0.127,6.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,729.0,0.169,60.0,182,6,3.3,2.15 (1.09-3.21),176,96.7,3.70 (3.44-3.95)
astrocytes microglia 23,108.0,0.433,89.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.169,49.0,252,20,7.94,1.96 (1.42-2.50),232,92.06,4.34 (4.10-4.59)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.196,81.0,345,4,1.16,3.10 (2.46-3.73),341,98.84,4.29 (4.08-4.50)
oligodendrocytes 2,528.0,0.271,78.0,175,5,2.86,5.22 (3.44-7.00),170,97.14,4.34 (3.98-4.69)
