tipo_celular,module_size,FASTKD1_MM,FASTKD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.221,57.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,393.0,0.08,5.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62)
astrocytes 5,1656.0,0.137,83.0,136,8,5.88,2.13 (1.22-3.04),128,94.12,3.29 (3.01-3.56)
oligodendrocyte progenitor cells 7,4285.0,0.15,72.0,353,58,16.43,2.49 (2.08-2.90),295,83.57,4.26 (4.08-4.44)
GABA neurons expressing GLU receptors 22,823.0,0.229,79.0,23,2,8.7,2.03 (0.03-4.04),21,91.3,2.44 (1.65-3.24)
GLU like neurons 17,1316.0,0.136,60.0,101,1,0.99,2.83 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,132.0,0.211,43.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,275.0,0.442,95.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.16,67.0,125,1,0.8,5.57 (NA-NA),124,99.2,3.33 (3.01-3.65)
astrocytes 8,603.0,0.042,13.0,89,9,10.11,1.40 (1.01-1.78),80,89.89,2.98 (2.61-3.35)
oligodendrocyte progenitor cells 12,708.0,0.039,7.0,32,7,21.88,1.06 (0.25-1.86),25,78.12,3.98 (3.14-4.81)
oligodendrocytes 10,2107.0,0.18,63.0,358,60,16.76,2.45 (2.04-2.87),298,83.24,4.26 (4.08-4.45)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.074,37.0,105,29,27.62,2.66 (2.04-3.28),76,72.38,3.44 (3.05-3.83)
oligodendrocytes 16,81.0,0.182,34.0,11,1,9.09,NA,10,90.91,1.43 (0.65-2.21)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.294,33.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.167,87.0,104,25,24.04,1.89 (1.45-2.32),79,75.96,3.20 (2.89-3.52)
oligodendrocytes 0,2078.0,0.104,30.0,238,17,7.14,3.87 (3.04-4.70),221,92.86,3.61 (3.39-3.84)
microglia 1,1615.0,0.13,77.0,161,41,25.47,1.86 (1.53-2.20),120,74.53,3.91 (3.63-4.18)
oligodendrocytes 3,681.0,0.051,8.0,87,37,42.53,2.13 (1.80-2.46),50,57.47,2.97 (2.59-3.36)
oligodendrocytes 2,1630.0,0.13,27.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52)
