tipo_celular,module_size,DENND4B_MM,DENND4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.213,51.0,21,9,42.86,1.13 (0.54-1.72),12,57.14,3.26 (2.67-3.85)
T cells 18,393.0,0.139,41.0,59,1,1.69,3.31 (NA-NA),58,98.31,3.10 (2.59-3.61)
astrocytes 5,1656.0,0.102,28.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.117,24.0,353,18,5.1,2.07 (1.32-2.83),335,94.9,4.02 (3.83-4.20)
GABA neurons expressing GLU receptors 22,487.0,0.304,78.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,142.0,0.203,44.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,253.0,0.088,21.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2090.0,0.154,50.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,603.0,0.059,34.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,3303.0,0.047,13.0,276,10,3.62,2.21 (1.62-2.80),266,96.38,3.61 (3.38-3.83)
oligodendrocytes 10,2107.0,0.097,27.0,358,22,6.15,1.97 (1.28-2.66),336,93.85,4.02 (3.83-4.21)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.106,68.0,105,6,5.71,1.75 (1.05-2.45),99,94.29,3.31 (2.96-3.65)
oligodendrocytes 16,123.0,0.221,58.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.199,2.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.15,61.0,104,9,8.65,2.08 (1.29-2.87),95,91.35,2.94 (2.65-3.24)
oligodendrocytes 0,187.0,0.096,6.0,14,2,14.29,7.18 (NA-NA),12,85.71,5.39 (4.79-5.98)
microglia 1,813.0,0.096,24.0,79,3,3.8,2.87 (2.25-3.49),76,96.2,3.11 (2.69-3.53)
oligodendrocytes 3,187.0,0.088,39.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.154,76.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
