tipo_celular,module_size,CLIP3_MM,CLIP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,228.0,0.156,41.0,266,58,21.8,3.34 (2.95-3.73),208,78.2,4.40 (4.17-4.64)
oligodendrocyte progenitor cells 7,296.0,0.198,59.0,251,15,5.98,4.46 (3.99-4.93),236,94.02,4.03 (3.78-4.29)
GABA neurons expressing GLU receptors 22,487.0,0.333,83.0,73,5,6.85,1.82 (1.12-2.51),68,93.15,2.84 (2.43-3.24)
GLU like neurons 17,300.0,0.185,47.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,1220.0,0.311,83.0,410,46,11.22,3.75 (3.36-4.14),364,88.78,4.33 (4.12-4.54)
GABA neurons expressing GABA receptors 13,88.0,0.11,12.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.143,28.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,2402.0,0.388,78.0,455,53,11.65,3.06 (2.60-3.52),402,88.35,4.58 (4.39-4.78)
astrocytes 8,520.0,0.241,79.0,288,57,19.79,3.82 (3.48-4.16),231,80.21,4.29 (4.05-4.52)
oligodendrocyte progenitor cells 12,411.0,0.062,33.0,103,3,2.91,3.60 (2.69-4.50),100,97.09,5.62 (5.23-6.01)
oligodendrocytes 10,806.0,0.32,82.0,261,42,16.09,4.04 (3.56-4.52),219,83.91,4.43 (4.16-4.71)
connective tissue cells 21,136.0,0.549,100.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,458.0,0.029,4.0,36,3,8.33,3.95 (2.83-5.06),33,91.67,3.75 (2.56-4.94)
oligodendrocytes 16,107.0,0.199,31.0,11,2,18.18,0.85 (0.21-1.49),9,81.82,1.63 (0.84-2.42)
da neurons 6,300.0,0.15,46.0,159,10,6.29,5.06 (4.32-5.80),149,93.71,4.32 (3.99-4.64)
astrocytes microglia 23,70.0,0.27,35.0,76,12,15.79,4.82 (4.46-5.18),64,84.21,4.00 (3.34-4.66)
astrocytes 4,157.0,0.15,27.0,178,41,23.03,3.15 (2.65-3.65),137,76.97,4.52 (4.23-4.81)
oligodendrocytes 0,116.0,0.11,22.0,169,6,3.55,4.35 (3.13-5.56),163,96.45,4.27 (3.96-4.58)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.195,80.0,345,56,16.23,3.74 (3.41-4.08),289,83.77,4.41 (4.17-4.66)
oligodendrocytes 2,99.0,0.217,44.0,116,2,1.72,3.48 (3.47-3.49),114,98.28,3.97 (3.66-4.27)
