tipo_celular,module_size,ENOSF1_MM,ENOSF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.175,62.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,477.0,0.186,67.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,117.0,0.176,67.0,28,0,0.0,NA,28,100.0,5.31 (4.72-5.89)
oligodendrocyte progenitor cells 7,4285.0,0.139,57.0,353,7,1.98,1.40 (0.40-2.39),346,98.02,3.94 (3.76-4.13)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.173,74.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,408.0,0.166,49.0,25,0,0.0,NA,25,100.0,4.61 (3.30-5.93)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.174,41.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,233.0,0.226,68.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.167,73.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,140.0,0.131,52.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,708.0,0.098,42.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.183,64.0,358,6,1.68,1.40 (0.40-2.39),352,98.32,3.92 (3.73-4.11)
connective tissue cells 21,111.0,0.164,1.0,26,1,3.85,2.53 (NA-NA),25,96.15,2.52 (1.83-3.22)
astrocytes 15,1768.0,0.065,29.0,105,6,5.71,1.40 (0.40-2.39),99,94.29,3.33 (2.99-3.67)
oligodendrocytes 16,69.0,0.197,36.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,107.0,0.27,21.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,752.0,0.122,11.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,479.0,0.289,96.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,346.0,0.154,55.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,639.0,0.224,96.0,15,1,6.67,2.53 (NA-NA),14,93.33,3.38 (1.90-4.86)
oligodendrocytes 2,237.0,0.318,84.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
