tipo_celular,module_size,BROX_MM,BROX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.114,17.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610.0,0.084,7.0,98,8,8.16,0.68 (0.27-1.09),90,91.84,3.36 (3.07-3.66)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.15,72.0,353,21,5.95,1.87 (1.33-2.42),332,94.05,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.067,11.0,275,14,5.09,1.15 (0.51-1.79),261,94.91,4.11 (3.85-4.36)
oligodendrocytes 20,271.0,0.111,18.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.097,8.0,455,22,4.84,2.17 (1.49-2.85),433,95.16,4.47 (4.28-4.65)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,9,3.26,2.44 (1.66-3.23),267,96.74,3.59 (3.37-3.81)
oligodendrocytes 10,483.0,0.062,18.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,116.0,0.191,43.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.288,37.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.146,97.0,238,4,1.68,3.34 (0.56-6.13),234,98.32,3.64 (3.42-3.86)
microglia 1,1615.0,0.143,86.0,161,11,6.83,1.13 (0.41-1.85),150,93.17,3.47 (3.21-3.73)
oligodendrocytes 3,743.0,0.096,68.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.18,98.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52)
