tipo_celular,module_size,RNF187_MM,RNF187_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.116,24.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.204,63.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.239,61.0,262,15,5.73,3.38 (2.58-4.18),247,94.27,4.23 (3.97-4.48)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.289,79.0,410,15,3.66,3.52 (3.00-4.03),395,96.34,4.29 (4.09-4.48)
GABA neurons expressing GABA receptors 13,417.0,0.126,22.0,213,26,12.21,2.13 (1.57-2.68),187,87.79,4.07 (3.83-4.31)
endothelial cells 9,338.0,0.17,65.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,938.0,0.192,78.0,169,17,10.06,3.29 (2.54-4.03),152,89.94,3.51 (3.28-3.74)
GABA like neurons 14,2402.0,0.536,91.0,455,33,7.25,2.48 (1.94-3.01),422,92.75,4.55 (4.37-4.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.098,53.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,806.0,0.264,73.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,158.0,0.192,44.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,729.0,0.122,34.0,182,3,1.65,1.40 (1.32-1.48),179,98.35,3.68 (3.43-3.93)
astrocytes microglia 23,103.0,0.392,90.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.148,37.0,252,26,10.32,2.17 (1.63-2.71),226,89.68,4.40 (4.15-4.64)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.16,68.0,345,12,3.48,4.09 (3.73-4.45),333,96.52,4.28 (4.06-4.50)
oligodendrocytes 2,526.0,0.265,50.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
