tipo_celular,module_size,AGAP9_MM,AGAP9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.102,28.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,3,0.85,4.29 (2.56-6.01),350,99.15,3.88 (3.70-4.07)
GABA neurons expressing GLU receptors 22,459.0,0.132,37.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,1316.0,0.126,52.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,172.0,0.119,14.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,250.0,0.497,96.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090.0,0.084,7.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,577.0,0.031,3.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,3303.0,0.081,53.0,276,1,0.36,2.53 (NA-NA),275,99.64,3.55 (3.33-3.76)
oligodendrocytes 10,2107.0,0.08,17.0,358,6,1.68,4.34 (3.47-5.22),352,98.32,3.85 (3.65-4.04)
connective tissue cells 21,102.0,0.319,60.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.165,96.0,105,1,0.95,2.53 (NA-NA),104,99.05,3.22 (2.88-3.56)
oligodendrocytes 16,86.0,0.134,13.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,135.0,0.322,54.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.148,57.0,104,1,0.96,2.53 (NA-NA),103,99.04,2.87 (2.58-3.15)
oligodendrocytes 0,2078.0,0.117,55.0,238,1,0.42,2.53 (NA-NA),237,99.58,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.083,20.0,6,2,33.33,5.16 (5.16-5.16),4,66.67,6.40 (5.12-7.67)
oligodendrocytes 2,1630.0,0.122,16.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
