tipo_celular,module_size,UTY_MM,UTY_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.122,24.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,624.0,0.266,98.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,156.0,0.149,56.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,35,9.92,1.69 (1.34-2.05),318,90.08,4.18 (4.01-4.36)
GABA neurons expressing GLU receptors 22,703.0,0.157,33.0,23,4,17.39,2.17 (1.32-3.02),19,82.61,2.07 (1.22-2.93)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,289.0,0.132,27.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.203,90.0,297,2,0.67,3.30 (1.79-4.81),295,99.33,3.68 (3.47-3.88)
oligodendrocytes 20,322.0,0.496,99.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.196,77.0,74,6,8.11,2.97 (1.90-4.05),68,91.89,2.94 (2.55-3.33)
astrocytes 8,771.0,0.117,48.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,218.0,0.198,42.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,1277.0,0.272,99.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,92.0,0.176,7.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,1768.0,0.065,28.0,105,18,17.14,1.62 (1.22-2.02),87,82.86,3.58 (3.22-3.93)
oligodendrocytes 16,313.0,0.128,11.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.391,98.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24)
astrocytes 4,255.0,0.218,76.0,12,2,16.67,NA,10,83.33,4.62 (3.76-5.48)
oligodendrocytes 0,117.0,0.151,46.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,1615.0,0.151,90.0,161,34,21.12,1.69 (1.34-2.05),127,78.88,3.78 (3.51-4.05)
oligodendrocytes 3,681.0,0.226,97.0,87,25,28.74,1.85 (1.47-2.24),62,71.26,2.90 (2.58-3.22)
oligodendrocytes 2,921.0,0.174,93.0,200,3,1.5,2.25 (0.43-4.07),197,98.5,3.64 (3.37-3.91)
