tipo_celular,module_size,TRAPPC13_MM,TRAPPC13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.214,77.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,610.0,0.148,48.0,98,18,18.37,1.93 (1.27-2.60),80,81.63,3.42 (3.10-3.75)
astrocytes 5,1656.0,0.156,97.0,136,5,3.68,3.90 (3.01-4.79),131,96.32,3.18 (2.90-3.46)
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,32,9.07,2.46 (1.93-2.99),321,90.93,4.08 (3.89-4.27)
GABA neurons expressing GLU receptors 22,703.0,0.168,39.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316.0,0.084,15.0,101,3,2.97,3.57 (3.10-4.04),98,97.03,3.03 (2.67-3.39)
da like neurons 11,137.0,0.116,9.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.086,17.0,297,2,0.67,4.27 (3.13-5.40),295,99.33,3.67 (3.46-3.87)
oligodendrocytes 20,295.0,0.031,4.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.179,82.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.082,32.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.108,50.0,32,9,28.12,1.29 (0.54-2.05),23,71.88,4.17 (3.30-5.04)
oligodendrocytes 10,1277.0,0.058,16.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,95.0,0.443,96.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,338.0,0.167,62.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,121.0,0.197,40.0,3,1,33.33,2.62 (NA-NA),2,66.67,3.09 (0.39-5.80)
da neurons 6,448.0,0.079,22.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,58.0,0.345,69.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.185,99.0,104,10,9.62,2.13 (1.14-3.11),94,90.38,2.95 (2.66-3.24)
oligodendrocytes 0,2078.0,0.114,48.0,238,11,4.62,3.23 (2.37-4.10),227,95.38,3.66 (3.43-3.89)
microglia 1,1615.0,0.103,40.0,161,18,11.18,1.69 (1.09-2.28),143,88.82,3.52 (3.25-3.79)
oligodendrocytes 3,1003.0,0.074,26.0,111,1,0.9,4.85 (NA-NA),110,99.1,3.29 (2.94-3.63)
oligodendrocytes 2,921.0,0.114,16.0,200,6,3.0,3.01 (2.20-3.82),194,97.0,3.64 (3.37-3.92)
