tipo_celular,module_size,MITD1_MM,MITD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.185,60.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,349.0,0.12,24.0,68,3,4.41,1.26 (0.33-2.20),65,95.59,4.49 (3.94-5.04)
astrocytes 5,1656.0,0.114,47.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.11,17.0,353,13,3.68,1.36 (0.72-1.99),340,96.32,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.062,3.0,25,5,20.0,1.29 (0.65-1.93),20,80.0,5.72 (4.40-7.04)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.068,9.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70)
oligodendrocytes 20,358.0,0.284,89.0,31,1,3.23,3.24 (NA-NA),30,96.77,2.33 (1.89-2.77)
GABA like neurons 14,3052.0,0.176,80.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.042,7.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.039,5.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.091,24.0,358,15,4.19,1.47 (0.84-2.10),343,95.81,4.00 (3.82-4.19)
connective tissue cells 21,92.0,0.312,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,261.0,0.044,7.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,65.0,0.274,83.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.302,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.171,92.0,104,4,3.85,0.81 (0.05-1.57),100,96.15,2.95 (2.67-3.23)
oligodendrocytes 0,613.0,0.112,17.0,127,1,0.79,NA,126,99.21,3.05 (2.64-3.46)
microglia 1,1615.0,0.105,43.0,161,8,4.97,0.60 (0.22-0.99),153,95.03,3.44 (3.19-3.70)
oligodendrocytes 3,681.0,0.078,34.0,87,4,4.6,0.89 (0.20-1.58),83,95.4,2.67 (2.40-2.94)
oligodendrocytes 2,1630.0,0.144,55.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
