tipo_celular,module_size,MPZL1_MM,MPZL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.12,3.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.133,29.0,58,4,6.9,2.00 (1.20-2.79),54,93.1,4.37 (3.95-4.78)
oligodendrocyte progenitor cells 7,4285.0,0.129,41.0,353,3,0.85,0.90 (-0.14-1.94),350,99.15,3.92 (3.74-4.11)
GABA neurons expressing GLU receptors 22,823.0,0.233,81.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316.0,0.161,79.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,142.0,0.201,44.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.122,34.0,155,1,0.65,4.99 (NA-NA),154,99.35,4.33 (3.96-4.70)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.161,69.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.057,22.0,66,2,3.03,0.62 (-0.19-1.44),64,96.97,3.32 (2.91-3.73)
oligodendrocyte progenitor cells 12,708.0,0.334,88.0,32,3,9.38,4.70 (NA-NA),29,90.62,3.19 (2.36-4.02)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.251,44.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1768.0,0.147,90.0,105,3,2.86,0.90 (-0.14-1.94),102,97.14,3.29 (2.95-3.62)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.071,14.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,255.0,0.283,68.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,787.0,0.141,32.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.131,66.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
