tipo_celular,module_size,RNF34_MM,RNF34_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.135,26.0,73,17,23.29,4.19 (3.73-4.65),56,76.71,3.32 (2.89-3.74)
T cells 18,610.0,0.113,20.0,98,36,36.73,2.27 (1.81-2.74),62,63.27,3.60 (3.24-3.97)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,50,14.16,2.53 (2.10-2.97),303,85.84,4.14 (3.95-4.33)
GABA neurons expressing GLU receptors 22,703.0,0.192,54.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,489.0,0.165,65.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64)
da like neurons 11,265.0,0.125,23.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93)
GABA neurons expressing GABA receptors 13,75.0,0.246,92.0,3,1,33.33,NA,2,66.67,1.99 (1.51-2.46)
endothelial cells 9,1653.0,0.089,19.0,297,15,5.05,4.06 (3.15-4.97),282,94.95,3.66 (3.46-3.87)
oligodendrocytes 20,403.0,0.109,46.0,18,11,61.11,1.35 (0.68-2.01),7,38.89,2.71 (1.51-3.92)
GABA like neurons 14,2402.0,0.17,31.0,455,33,7.25,2.55 (1.99-3.11),422,92.75,4.53 (4.34-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,218.0,0.056,22.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA
oligodendrocytes 10,806.0,0.04,4.0,261,3,1.15,1.29 (NA-NA),258,98.85,4.38 (4.14-4.62)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.201,52.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,448.0,0.1,48.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,140.0,0.266,21.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.117,56.0,238,16,6.72,3.37 (2.60-4.14),222,93.28,3.65 (3.42-3.88)
microglia 1,1615.0,0.079,9.0,161,44,27.33,2.44 (1.95-2.93),117,72.67,3.59 (3.29-3.88)
oligodendrocytes 3,639.0,0.071,26.0,15,7,46.67,1.49 (0.55-2.43),8,53.33,5.44 (4.03-6.86)
oligodendrocytes 2,1630.0,0.136,38.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
