tipo_celular,module_size,HERC1_MM,HERC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.255,84.0,32,5,15.62,3.76 (2.56-4.96),27,84.38,3.72 (2.79-4.64)
T cells 18,388,0.131,39.0,84,1,1.19,NA,83,98.81,2.97 (2.65-3.30)
astrocytes 5,1141,0.17,91.0,166,4,2.41,3.61 (1.47-5.74),162,97.59,3.38 (3.13-3.64)
oligodendrocyte progenitor cells 7,448,0.155,62.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,459,0.098,20.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,1247,0.105,29.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,204,0.383,99.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,357,0.082,5.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,1653,0.204,91.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,228,0.212,54.0,5,1,20.0,0.26 (NA-NA),4,80.0,4.00 (1.97-6.04)
GABA like neurons 14,1300,0.186,40.0,306,6,1.96,3.98 (2.98-4.97),300,98.04,5.12 (4.85-5.39)
astrocytes 8,771,0.071,26.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,138,0.524,86.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107,0.245,81.0,358,11,3.07,2.03 (0.76-3.30),347,96.93,3.93 (3.74-4.12)
connective tissue cells 21,78,0.162,11.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.144,89.0,105,1,0.95,2.24 (NA-NA),104,99.05,3.22 (2.88-3.56)
oligodendrocytes 16,116,0.126,6.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,553,0.127,50.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,253,0.198,21.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,752,0.166,68.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.191,98.0,300,2,0.67,3.56 (NA-NA),298,99.33,3.79 (3.59-4.00)
microglia 1,1615,0.12,65.0,161,10,6.21,2.03 (0.76-3.30),151,93.79,3.37 (3.11-3.64)
oligodendrocytes 3,357,0.163,84.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,804,0.188,83.0,84,1,1.19,0.95 (NA-NA),83,98.81,2.71 (2.38-3.05)
