tipo_celular,module_size,AKNA_MM,AKNA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.205,63.0,73,4,5.48,3.66 (3.10-4.23),69,94.52,3.56 (3.19-3.93)
T cells 18,388.0,0.111,26.0,84,8,9.52,2.41 (2.26-2.55),76,90.48,3.04 (2.68-3.40)
astrocytes 5,156.0,0.129,39.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.175,96.0,353,54,15.3,2.05 (1.77-2.34),299,84.7,4.32 (4.15-4.50)
GABA neurons expressing GLU receptors 22,1069.0,0.237,90.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.06,2.0,74,13,17.57,2.22 (1.97-2.48),61,82.43,3.12 (2.67-3.58)
astrocytes 8,603.0,0.045,17.0,89,6,6.74,1.16 (0.94-1.38),83,93.26,2.92 (2.56-3.28)
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,44,15.94,2.08 (1.83-2.33),232,84.06,3.91 (3.67-4.14)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.072,37.0,96,9,9.38,2.99 (2.03-3.96),87,90.62,3.69 (3.20-4.18)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.185,1.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,161.0,0.139,24.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.104,41.0,161,50,31.06,2.00 (1.73-2.28),111,68.94,4.02 (3.73-4.32)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
