tipo_celular,module_size,TTC28_MM,TTC28_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.22,75.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,349.0,0.19,53.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,118.0,0.22,53.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,436.0,0.034,1.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,1069.0,0.195,72.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,637.0,0.145,44.0,91,2,2.2,1.08 (-0.63-2.78),89,97.8,4.64 (4.13-5.16)
da like neurons 11,191.0,0.225,41.0,93,0,0.0,NA,93,100.0,5.65 (5.25-6.05)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.31,100.0,297,4,1.35,3.32 (2.96-3.69),293,98.65,3.68 (3.47-3.89)
oligodendrocytes 20,348.0,0.2,73.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,1300.0,0.304,89.0,306,6,1.96,0.97 (0.42-1.52),300,98.04,5.19 (4.94-5.45)
astrocytes 8,279.0,0.218,27.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73)
oligodendrocyte progenitor cells 12,411.0,0.246,64.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,1277.0,0.288,100.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,147.0,0.336,92.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,268.0,0.322,93.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,108.0,0.118,9.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,76.0,0.165,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220.0,0.17,54.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,1186.0,0.16,75.0,300,2,0.67,3.15 (2.72-3.58),298,99.33,3.80 (3.59-4.00)
microglia 1,1615.0,0.135,81.0,161,4,2.48,0.90 (-0.14-1.94),157,97.52,3.33 (3.06-3.59)
oligodendrocytes 3,1003.0,0.104,59.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.157,56.0,84,2,2.38,0.21 (NA-NA),82,97.62,2.73 (2.39-3.06)
