tipo_celular,module_size,NCKAP5_MM,NCKAP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.302,80.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.234,63.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,436.0,0.222,89.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,567.0,0.676,100.0,16,2,12.5,3.39 (1.11-5.68),14,87.5,1.74 (1.10-2.37)
GLU like neurons 17,637.0,0.713,100.0,91,12,13.19,2.38 (1.16-3.60),79,86.81,4.96 (4.45-5.47)
da like neurons 11,408.0,0.719,99.0,25,3,12.0,1.24 (0.28-2.21),22,88.0,5.21 (3.86-6.56)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.728,98.0,74,7,9.46,4.19 (2.93-5.46),67,90.54,5.61 (5.02-6.19)
oligodendrocytes 20,676.0,0.416,69.0,110,6,5.45,3.48 (2.27-4.69),104,94.55,5.10 (4.63-5.56)
GABA like neurons 14,3052.0,0.071,5.0,125,1,0.8,4.56 (NA-NA),124,99.2,3.34 (3.02-3.67)
astrocytes 8,771.0,0.467,90.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.305,88.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,204.0,0.564,90.0,92,1,1.09,NA,91,98.91,5.70 (5.23-6.17)
connective tissue cells 21,250.0,0.781,96.0,117,3,2.56,2.68 (0.83-4.53),114,97.44,5.47 (5.08-5.86)
astrocytes 15,208.0,0.555,95.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,199.0,0.132,17.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.308,78.0,30,2,6.67,1.74 (1.73-1.75),28,93.33,6.06 (5.27-6.84)
astrocytes 4,251.0,0.222,84.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,187.0,0.278,88.0,14,1,7.14,5.34 (NA-NA),13,92.86,5.54 (4.88-6.21)
microglia 1,127.0,0.191,54.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,187.0,0.26,94.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,131.0,0.336,92.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25)
