tipo_celular,module_size,MDM4_MM,MDM4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.185,65.0,97,2,2.06,2.40 (2.14-2.65),95,97.94,3.07 (2.67-3.47)
T cells 18,727.0,0.167,68.0,49,9,18.37,4.06 (3.15-4.97),40,81.63,2.18 (1.80-2.56)
astrocytes 5,1141.0,0.126,42.0,166,53,31.93,2.70 (2.37-3.03),113,68.07,3.79 (3.46-4.11)
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,72,20.4,2.45 (2.14-2.76),281,79.6,4.37 (4.19-4.56)
GABA neurons expressing GLU receptors 22,1069.0,0.121,19.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,685.0,0.09,22.0,135,27,20.0,2.33 (1.83-2.84),108,80.0,3.44 (3.09-3.79)
da like neurons 11,408.0,0.097,20.0,25,8,32.0,1.42 (0.83-2.00),17,68.0,6.74 (5.82-7.67)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.166,77.0,297,12,4.04,4.24 (3.28-5.19),285,95.96,3.65 (3.45-3.86)
oligodendrocytes 20,295.0,0.35,89.0,28,8,28.57,2.86 (2.16-3.55),20,71.43,1.89 (1.35-2.44)
GABA like neurons 14,3052.0,0.154,63.0,125,7,5.6,3.33 (2.97-3.70),118,94.4,3.35 (3.02-3.69)
astrocytes 8,577.0,0.039,8.0,83,8,9.64,2.82 (1.84-3.79),75,90.36,3.31 (2.82-3.80)
oligodendrocyte progenitor cells 12,3303.0,0.122,90.0,276,56,20.29,2.52 (2.19-2.85),220,79.71,3.89 (3.64-4.13)
oligodendrocytes 10,2107.0,0.273,85.0,358,81,22.63,2.55 (2.24-2.87),277,77.37,4.39 (4.19-4.58)
connective tissue cells 21,100.0,0.323,65.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.131,35.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,65.0,0.172,40.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,100.0,0.196,5.0,9,2,22.22,3.05 (2.02-4.09),7,77.78,4.21 (2.98-5.44)
astrocytes 4,721.0,0.167,78.0,61,4,6.56,3.21 (1.01-5.42),57,93.44,2.95 (2.53-3.37)
oligodendrocytes 0,1186.0,0.149,59.0,300,11,3.67,3.97 (3.33-4.61),289,96.33,3.78 (3.57-4.00)
microglia 1,813.0,0.11,43.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,1003.0,0.072,23.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65)
oligodendrocytes 2,804.0,0.132,26.0,84,21,25.0,2.88 (2.18-3.58),63,75.0,2.62 (2.24-3.01)
