tipo_celular,module_size,FAM20C_MM,FAM20C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.179,34.0,21,10,47.62,1.19 (0.65-1.74),11,52.38,3.41 (2.85-3.97)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.367,96.0,58,5,8.62,4.50 (3.13-5.86),53,91.38,4.14 (3.69-4.59)
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,36,10.2,2.25 (1.79-2.70),317,89.8,4.13 (3.95-4.32)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.1,15.0,410,17,4.15,2.91 (2.29-3.52),393,95.85,4.30 (4.11-4.50)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.158,42.0,54,1,1.85,5.15 (NA-NA),53,98.15,4.83 (4.19-5.47)
oligodendrocytes 20,295.0,0.041,7.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.115,30.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,283.0,0.114,36.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.08,41.0,235,9,3.83,3.29 (2.25-4.33),226,96.17,3.84 (3.60-4.08)
oligodendrocytes 10,806.0,0.128,39.0,261,10,3.83,2.51 (1.77-3.25),251,96.17,4.42 (4.18-4.67)
connective tissue cells 21,78.0,0.195,21.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.185,95.0,96,2,2.08,4.07 (4.07-4.07),94,97.92,3.60 (3.14-4.06)
oligodendrocytes 16,81.0,0.188,40.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,228.0,0.131,74.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,92.0,0.271,24.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91)
astrocytes 4,171.0,0.257,83.0,22,2,9.09,5.45 (3.71-7.19),20,90.91,4.42 (3.41-5.44)
oligodendrocytes 0,2078.0,0.105,31.0,238,8,3.36,2.69 (1.96-3.41),230,96.64,3.68 (3.45-3.90)
microglia 1,346.0,0.149,51.0,43,1,2.33,4.56 (NA-NA),42,97.67,3.74 (3.23-4.26)
oligodendrocytes 3,854.0,0.069,25.0,76,8,10.53,3.40 (2.43-4.37),68,89.47,2.70 (2.35-3.05)
oligodendrocytes 2,1630.0,0.146,59.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
