tipo_celular,module_size,ATP9B_MM,ATP9B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.148,40.0,32,3,9.38,3.95 (2.24-5.67),29,90.62,3.69 (2.84-4.55)
T cells 18,477.0,0.221,81.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.106,19.0,166,3,1.81,1.87 (-1.06-4.79),163,98.19,3.42 (3.18-3.67)
oligodendrocyte progenitor cells 7,448.0,0.102,21.0,108,1,0.93,NA,107,99.07,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,599.0,0.146,19.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,300.0,0.218,74.0,16,1,6.25,4.07 (NA-NA),15,93.75,1.93 (1.07-2.79)
da like neurons 11,209.0,0.41,91.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.232,96.0,297,1,0.34,4.85 (NA-NA),296,99.66,3.67 (3.46-3.87)
oligodendrocytes 20,275.0,0.18,41.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,1300.0,0.282,82.0,306,13,4.25,1.93 (1.44-2.43),293,95.75,5.29 (5.03-5.54)
astrocytes 8,140.0,0.285,89.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,103.0,0.428,28.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,2107.0,0.282,87.0,358,18,5.03,2.22 (1.37-3.07),340,94.97,3.98 (3.79-4.17)
connective tissue cells 21,102.0,0.199,9.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75)
astrocytes 15,367.0,0.087,19.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05)
oligodendrocytes 16,199.0,0.153,36.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.18,10.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,752.0,0.164,66.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,479.0,0.122,25.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,958.0,0.111,49.0,290,7,2.41,2.38 (1.38-3.38),283,97.59,3.86 (3.63-4.09)
oligodendrocytes 3,639.0,0.152,82.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,347.0,0.273,79.0,15,1,6.67,5.21 (NA-NA),14,93.33,4.80 (3.88-5.72)
