tipo_celular,module_size,RRP15_MM,RRP15_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,18,5.1,1.74 (1.30-2.17),335,94.9,4.04 (3.86-4.23)
GABA neurons expressing GLU receptors 22,487.0,0.347,85.0,73,7,9.59,2.86 (1.24-4.47),66,90.41,2.74 (2.35-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,142.0,0.154,30.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.082,8.0,302,8,2.65,4.79 (2.35-7.23),294,97.35,3.96 (3.74-4.18)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.118,32.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.034,4.0,276,14,5.07,1.62 (1.26-1.98),262,94.93,3.68 (3.46-3.90)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,116.0,0.427,95.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
