tipo_celular,module_size,EYA1_MM,EYA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.291,95.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,666.0,0.23,81.0,127,13,10.24,2.22 (1.70-2.73),114,89.76,4.12 (3.77-4.47)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,279.0,0.329,80.0,78,15,19.23,2.68 (2.23-3.14),63,80.77,4.79 (4.34-5.23)
oligodendrocyte progenitor cells 12,411.0,0.107,50.0,103,5,4.85,3.93 (2.66-5.20),98,95.15,5.66 (5.26-6.05)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,183.0,0.491,93.0,32,2,6.25,0.87 (NA-NA),30,93.75,5.26 (4.67-5.86)
astrocytes 15,208.0,0.632,100.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,76.0,0.206,6.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220.0,0.284,95.0,63,8,12.7,2.94 (2.21-3.68),55,87.3,5.57 (5.00-6.13)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
