tipo_celular,module_size,DDX6_MM,DDX6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.227,61.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,506,0.184,50.0,225,26,11.56,2.79 (2.08-3.51),199,88.44,3.74 (3.48-4.00)
astrocytes 5,423,0.101,14.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285,0.138,55.0,353,57,16.15,2.15 (1.76-2.54),296,83.85,4.26 (4.09-4.44)
GABA neurons expressing GLU receptors 22,848,0.185,40.0,262,23,8.78,2.76 (1.97-3.56),239,91.22,4.30 (4.05-4.55)
GLU like neurons 17,685,0.114,39.0,135,30,22.22,2.19 (1.69-2.70),105,77.78,3.53 (3.18-3.87)
da like neurons 11,94,0.076,12.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,238,0.162,50.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37)
endothelial cells 9,385,0.104,51.0,275,59,21.45,2.66 (2.15-3.16),216,78.55,4.41 (4.15-4.68)
oligodendrocytes 20,275,0.166,36.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052,0.149,59.0,125,2,1.6,4.49 (3.17-5.81),123,98.4,3.33 (3.00-3.66)
astrocytes 8,771,0.056,16.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303,0.107,81.0,276,36,13.04,2.15 (1.73-2.57),240,86.96,3.80 (3.57-4.03)
oligodendrocytes 10,483,0.056,13.0,129,5,3.88,4.01 (2.56-5.45),124,96.12,3.40 (3.00-3.81)
connective tissue cells 21,110,0.176,5.0,13,1,7.69,0.94 (NA-NA),12,92.31,3.30 (2.48-4.11)
astrocytes 15,1401,0.069,34.0,96,9,9.38,2.71 (1.99-3.43),87,90.62,3.71 (3.23-4.20)
oligodendrocytes 16,81,0.165,44.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,553,0.187,80.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,101,0.263,23.0,6,2,33.33,NA,4,66.67,4.26 (2.94-5.59)
astrocytes 4,787,0.137,25.0,65,3,4.62,4.01 (1.74-6.28),62,95.38,2.92 (2.52-3.32)
oligodendrocytes 0,1186,0.16,75.0,300,6,2.0,3.64 (2.97-4.32),294,98.0,3.80 (3.59-4.01)
microglia 1,958,0.118,61.0,290,38,13.1,3.71 (2.94-4.48),252,86.9,3.83 (3.59-4.07)
oligodendrocytes 3,1003,0.081,34.0,111,1,0.9,5.10 (NA-NA),110,99.1,3.28 (2.94-3.63)
oligodendrocytes 2,921,0.142,60.0,200,14,7.0,3.39 (2.55-4.24),186,93.0,3.64 (3.36-3.91)
