tipo_celular,module_size,DCUN1D2_MM,DCUN1D2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,624.0,0.16,56.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.124,64.0,136,2,1.47,1.96 (NA-NA),134,98.53,3.22 (2.95-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.168,93.0,353,30,8.5,1.84 (1.34-2.34),323,91.5,4.12 (3.95-4.30)
GABA neurons expressing GLU receptors 22,1069.0,0.105,11.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,300.0,0.202,64.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08)
da like neurons 11,172.0,0.088,6.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.088,18.0,297,4,1.35,4.23 (3.70-4.76),293,98.65,3.66 (3.46-3.87)
oligodendrocytes 20,279.0,0.353,85.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.193,89.0,125,3,2.4,3.54 (2.65-4.43),122,97.6,3.35 (3.01-3.68)
astrocytes 8,218.0,0.148,69.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.069,38.0,276,27,9.78,2.26 (1.78-2.73),249,90.22,3.72 (3.49-3.95)
oligodendrocytes 10,2107.0,0.094,25.0,358,36,10.06,1.78 (1.36-2.21),322,89.94,4.17 (3.98-4.35)
connective tissue cells 21,106.0,0.322,80.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,268.0,0.131,63.0,10,1,10.0,1.92 (NA-NA),9,90.0,3.94 (2.07-5.81)
oligodendrocytes 16,65.0,0.183,36.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,114.0,0.374,86.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.165,86.0,104,17,16.35,1.69 (1.16-2.22),87,83.65,3.10 (2.80-3.39)
oligodendrocytes 0,2078.0,0.156,100.0,238,11,4.62,3.18 (2.39-3.97),227,95.38,3.66 (3.43-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.071,22.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,1630.0,0.145,58.0,154,2,1.3,2.71 (NA-NA),152,98.7,3.25 (2.98-3.52)
