tipo_celular,module_size,DSCAM_MM,DSCAM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.614,97.0,140,31,22.14,4.43 (3.90-4.96),109,77.86,4.60 (4.26-4.93)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.337,100.0,219,55,25.11,5.74 (5.16-6.32),164,74.89,5.01 (4.69-5.34)
GABA neurons expressing GLU receptors 22,459.0,0.263,83.0,165,27,16.36,4.07 (3.01-5.13),138,83.64,5.26 (4.92-5.61)
GLU like neurons 17,795.0,0.204,78.0,80,13,16.25,5.66 (3.81-7.50),67,83.75,5.68 (5.28-6.09)
da like neurons 11,191.0,0.455,86.0,93,49,52.69,5.83 (5.17-6.49),44,47.31,5.45 (5.02-5.88)
GABA neurons expressing GABA receptors 13,288.0,0.117,18.0,93,51,54.84,5.12 (4.44-5.81),42,45.16,5.18 (4.47-5.89)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.023,1.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,1300.0,0.338,95.0,306,89,29.08,5.10 (4.53-5.66),217,70.92,5.09 (4.81-5.37)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.36,82.0,103,27,26.21,6.31 (5.41-7.21),76,73.79,5.29 (4.89-5.69)
oligodendrocytes 10,1277.0,0.239,97.0,27,3,11.11,7.31 (5.40-9.21),24,88.89,5.17 (4.28-6.06)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,149.0,0.46,94.0,70,6,8.57,7.56 (6.69-8.42),64,91.43,5.48 (5.00-5.97)
da neurons 6,398.0,0.144,48.0,138,35,25.36,4.04 (3.38-4.71),103,74.64,5.13 (4.70-5.56)
astrocytes microglia 23,229.0,0.277,44.0,99,17,17.17,4.18 (3.58-4.79),82,82.83,4.33 (3.94-4.71)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,309.0,0.148,66.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,315.0,0.192,62.0,144,28,19.44,4.42 (3.84-5.00),116,80.56,4.47 (4.11-4.83)
oligodendrocytes 3,94.0,0.171,81.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,347.0,0.151,26.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
