tipo_celular,module_size,MRPL41_MM,MRPL41_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.171,55.0,241,1,0.41,1.82 (NA-NA),240,99.59,4.07 (3.82-4.32)
astrocytes 5,328.0,0.153,45.0,128,6,4.69,3.43 (2.70-4.16),122,95.31,3.58 (3.22-3.94)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,1069.0,0.148,38.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.122,25.0,410,19,4.63,2.48 (2.03-2.94),391,95.37,4.37 (4.18-4.56)
GABA neurons expressing GABA receptors 13,417.0,0.172,57.0,213,36,16.9,2.01 (1.63-2.39),177,83.1,4.26 (4.03-4.49)
endothelial cells 9,916.0,0.339,77.0,302,22,7.28,2.81 (2.37-3.26),280,92.72,4.11 (3.87-4.35)
oligodendrocytes 20,938.0,0.213,84.0,169,18,10.65,2.33 (1.82-2.85),151,89.35,3.65 (3.42-3.88)
GABA like neurons 14,2402.0,0.308,67.0,455,39,8.57,2.02 (1.67-2.38),416,91.43,4.66 (4.48-4.83)
astrocytes 8,603.0,0.175,87.0,89,17,19.1,2.21 (1.65-2.76),72,80.9,2.96 (2.53-3.38)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.181,84.0,277,2,0.72,3.49 (2.77-4.20),275,99.28,3.90 (3.65-4.14)
connective tissue cells 21,85.0,0.326,56.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,377.0,0.048,6.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,158.0,0.468,100.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,729.0,0.203,74.0,182,18,9.89,2.83 (2.31-3.35),164,90.11,3.75 (3.48-4.02)
astrocytes microglia 23,161.0,0.296,45.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.137,36.0,104,19,18.27,1.49 (1.13-1.84),85,81.73,3.20 (2.91-3.49)
oligodendrocytes 0,546.0,0.156,43.0,252,35,13.89,1.86 (1.50-2.22),217,86.11,4.60 (4.37-4.83)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.106,36.0,154,6,3.9,3.43 (2.70-4.16),148,96.1,3.63 (3.30-3.96)
oligodendrocytes 2,526.0,0.233,41.0,213,10,4.69,2.98 (2.43-3.53),203,95.31,4.04 (3.76-4.33)
