tipo_celular,module_size,CNKSR2_MM,CNKSR2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.177,94.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68)
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,6,1.7,0.72 (0.11-1.33),347,98.3,3.95 (3.77-4.13)
GABA neurons expressing GLU receptors 22,459.0,0.196,65.0,165,8,4.85,1.89 (1.32-2.47),157,95.15,5.30 (4.98-5.63)
GLU like neurons 17,489.0,0.212,81.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,209.0,0.235,69.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,200.0,0.122,24.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.238,65.0,306,14,4.58,1.86 (1.34-2.39),292,95.42,5.31 (5.06-5.56)
astrocytes 8,727.0,0.119,58.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.118,54.0,32,3,9.38,0.45 (0.32-0.59),29,90.62,3.46 (2.65-4.27)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.145,46.0,14,1,7.14,0.52 (NA-NA),13,92.86,2.32 (0.98-3.65)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.117,58.0,122,10,8.2,1.26 (0.34-2.17),112,91.8,4.18 (3.79-4.56)
astrocytes microglia 23,125.0,0.196,4.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.184,91.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
