tipo_celular,module_size,CNNM2_MM,CNNM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.179,65.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,518,0.127,28.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,932,0.125,74.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,666,0.163,48.0,127,1,0.79,4.86 (NA-NA),126,99.21,3.82 (3.48-4.16)
GABA neurons expressing GLU receptors 22,823,0.199,63.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1247,0.207,85.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,172,0.449,99.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,77,0.179,53.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,303,0.235,64.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,330,0.215,63.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,1300,0.309,90.0,306,7,2.29,2.73 (1.94-3.51),299,97.71,5.18 (4.91-5.44)
astrocytes 8,1266,0.112,73.0,66,0,0.0,NA,66,100.0,3.23 (2.81-3.65)
oligodendrocyte progenitor cells 12,3303,0.114,86.0,276,0,0.0,NA,276,100.0,3.54 (3.32-3.76)
oligodendrocytes 10,1277,0.129,64.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106,0.301,68.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,443,0.141,40.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,122,0.22,63.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,398,0.082,10.0,138,0,0.0,NA,138,100.0,4.82 (4.46-5.19)
astrocytes microglia 23,51,0.234,8.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.116,7.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.17,86.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615,0.112,55.0,161,0,0.0,NA,161,100.0,3.27 (3.00-3.54)
oligodendrocytes 3,1003,0.09,44.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.174,72.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
