tipo_celular,module_size,ADAM9_MM,ADAM9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.237,69.0,21,2,9.52,0.45 (0.32-0.59),19,90.48,2.51 (1.88-3.13)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.335,96.0,80,5,6.25,4.11 (2.57-5.66),75,93.75,3.35 (2.85-3.84)
oligodendrocyte progenitor cells 7,666.0,0.324,93.0,127,48,37.8,3.88 (3.39-4.37),79,62.2,3.79 (3.31-4.26)
GABA neurons expressing GLU receptors 22,599.0,0.286,82.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,380.0,0.082,4.0,39,4,10.26,3.33 (2.48-4.18),35,89.74,2.92 (2.31-3.53)
da like neurons 11,197.0,0.297,76.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.103,24.0,54,2,3.7,5.19 (5.10-5.28),52,96.3,4.82 (4.15-5.48)
oligodendrocytes 20,250.0,0.037,10.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052.0,0.178,81.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,577.0,0.266,97.0,83,9,10.84,3.03 (2.12-3.95),74,89.16,3.28 (2.78-3.78)
oligodendrocyte progenitor cells 12,3303.0,0.047,13.0,276,35,12.68,2.46 (2.09-2.83),241,87.32,3.76 (3.52-4.00)
oligodendrocytes 10,483.0,0.105,45.0,129,8,6.2,4.21 (3.67-4.75),121,93.8,3.38 (2.97-3.79)
connective tissue cells 21,116.0,0.217,11.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1768.0,0.156,93.0,105,23,21.9,2.27 (1.78-2.77),82,78.1,3.50 (3.12-3.89)
oligodendrocytes 16,64.0,0.237,78.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.411,79.0,120,63,52.5,3.34 (2.98-3.70),57,47.5,3.93 (3.45-4.42)
astrocytes 4,514.0,0.487,99.0,95,11,11.58,3.29 (1.69-4.89),84,88.42,3.38 (2.95-3.81)
oligodendrocytes 0,2078.0,0.143,95.0,238,11,4.62,3.00 (2.24-3.77),227,95.38,3.67 (3.44-3.90)
microglia 1,480.0,0.265,78.0,163,42,25.77,4.32 (3.98-4.66),121,74.23,3.49 (3.16-3.82)
oligodendrocytes 3,854.0,0.122,78.0,76,4,5.26,2.82 (0.90-4.74),72,94.74,2.78 (2.44-3.11)
oligodendrocytes 2,804.0,0.155,54.0,84,11,13.1,2.37 (1.63-3.11),73,86.9,2.74 (2.37-3.12)
